id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;n_photos;City MPG;Drivetrain;Engine;Exterior Color;Fuel Type;Highway MPG;Interior Color;Mileage;Stock;Transmission;VIN
766117114.html;$18,900;;;Good Deal;4.9;1796;4.7;240 reviews;22;17;RWD;8 Cylinder Engine;Black;Gasoline;23;Black;96,625;3745-9R-1;Automatic;1FTFW1CFXEKE19547
765918742.html;$32,981;;;Great Deal;4.7;308;5;6 reviews;47;24;RWD;2.0L I4 16V GDI DOHC Turbo;Black Sapphire Metallic;Gasoline;34;Black;8,444;SKBM13025;8-Speed Automatic;WBA4J1C58KBM13025
754010513.html;$17,506;$19,780;;;4.6;262;5;33 reviews;11;27;FWD;1.8L I4 16V MPFI DOHC;Cloud White;Gasoline;35;Charcoal;6;NI19089;Automatic CVT;3N1AB7APXKY233253
764633463.html;$20,195;;;Great Deal;4.8;1086;4.7;80 reviews;44;22;FWD;Premium Unleaded V-6 3.5 L/213;Gun Metallic;Gasoline;30;Charcoal;35,500;30244;1-Speed CVT w/OD;1N4AA6AP6GC386003
766949879.html;$10,500;;;Good Deal;4.5;8;4.7;48 reviews;24;13;RWD;5.7L V8 32V MPFI DOHC;Black;Gasoline;18;;200,000;203084;6-Speed Automatic;5TDZY67A98S012870
737215478.html;$41,515;$47,015;;;4.8;1125;4.8;135 reviews;32;17;4WD;3.6L V6 24V MPFI DOHC;Black Clearcoat;Gasoline;23;Black;76;30761;8-Speed Automatic;1C4HJXEG9JW175277
764032293.html;$37,435;$37,935;;;4.9;287;4.7;25 reviews;9;22;AWD;2.5L I4 16V GDI DOHC Turbo;Jet Black Mica;Gasoline;27;Deep Red;15;M14534;6-Speed Automatic;JM3KFBEY8K0542796
763248350.html;$13,995;;$14495;Great Deal;4.8;1086;4.8;20 reviews;41;137;RWD;Electric;Ionic Silver Metallic W/Bmw I Frozen Blue Accent;Hybrid;111;Mega Carum Spice Gray;16,253;28484;1-Speed Automatic;WBY1Z2C59FV287541
765427562.html;$20,492;;;Good Deal;4.8;69;5;5 reviews;50;23;FWD;2.0L I4 16V GDI DOHC Turbo;Melting Silver Metallic;Gasoline;33;Caramel;39,143;LG3A91108;6-Speed Automatic;WMWWG9C58G3A91108
766339125.html;$21,590;;;Good Deal;4.9;1370;4.8;310 reviews;49;20;FWD;4 Cylinder;Frost White Pearl;Gasoline;26;Beige;47,847;D50273;Automatic;5XYZU3LBXHG390251
762288529.html;$48,994;;;Good Deal;4.8;1086;5;7 reviews;49;;AWD;Twin Turbo Premium Unleaded V-6 3.0 L/183;Black;Gasoline;;Gray/Dark Gray;36,143;29937;7-Speed Automatic w/OD;4JGDF6EE7GA676212
756853049.html;$16,105;$17,120;;;2.5;33;4.5;8 reviews;22;28;FWD;1.6 L;Frost White Pearl;Gasoline;37;Beige;9;H060765;Automatic;3KPC24A30KE060765
764398569.html;$41,481;;;Good Deal;4.9;482;4.7;196 reviews;30;17;AWD;3.6L V6 24V GDI DOHC;Pure White;Gasoline;23;Black;16,218;PK962;8-Speed Automatic;1V2NR2CA3JC502608
763980663.html;$42,875;$47,945;;;4.6;262;5;6 reviews;18;20;AWD;3.5L V6 24V MPFI DOHC;White;Gasoline;28;Graphite;8;NT19208;Automatic CVT;5N1AZ2MS6KN114801
755345051.html;$32,676;$35,125;;;4.7;176;5;5 reviews;22;18;FWD;Regular Unleaded V-6 3.3 L/204;Aurora Black;Gasoline;24;Gray;14;K504925;8-Speed Automatic w/OD;KNDMB5C1XK6504925
758761912.html;$12,799;;;Good Deal;4.8;416;4.6;89 reviews;27;27;FWD;Regular Unleaded I-4 1.6 L/97;Triathlon Grey;Gasoline;35;Black;42,035;296255-S;6-Speed Manual w/OD;KMHTC6AD9GU296255
751431552.html;$34,188;$36,993;;;4.6;262;4.7;118 reviews;20;25;AWD;2.5L H4 16V MPFI DOHC;Crystal White Pearl;Gasoline;32;Black;12;SU19139;Automatic CVT;4S4BSANC0K3233370
761342888.html;$40,493;$49,210;;;4.5;63;4.8;20 reviews;32;20;4WD;8 Cylinder Engine 5.0L;Oxford White;E85 Flex Fuel;25;Dark Earth Gray;3;F1521;AUTOMATIC;1FTEW1E55KKC57757
751582870.html;$36,636;$40,630;;;5;19;4.4;5 reviews;32;20;FWD;3.5 L;Pearl White Tricoat;Gasoline;27;Almond;7;0NT19030;Variable;5N1DR2MN0KC585846
759458271.html;$53,000;$56,005;;;2.5;15;4.8;181 reviews;9;19;4WD;Regular Unleaded V-8 5.7 L/345;Diamond Black Crystal Pearlcoat;Gasoline;24;Red/Black;12;00R10870;8-Speed Automatic w/OD;1C6SRFLT1KN755775
762565843.html;$41,888;;;Good Deal;4.6;262;4.7;66 reviews;43;;4WD;6.4L V8 16V MPFI OHV;Flame Red Clearcoat;Gasoline;;Diesel Gray / Black;22,167;DT19166B;6-Speed Automatic;3C6TR5EJ7GG179393
755873552.html;$53,804;$61,805;;;4.9;589;5;5 reviews;20;17;RWD;3.5 L;Magnetic;Gasoline;22;Ebony;0;79028;Automatic;1FMJU1HT9KEA00285
766318962.html;$23,615;$24,115;;;4.9;287;5;1 reviews;8;26;FWD;2.5L I4 16V;Soul Red Crystal Metallic;Gasoline;35;Black;8;M14589;6-Speed Automatic;JM1BPACL4K1106982
767171654.html;$20,970;;;Good Deal;4.8;424;4.8;34 reviews;32;19;ALL WHEEL;3.5L 6 Cyl. Gas;Black;Gasoline;29;TAN;67,544;021120-H;AUTOMATIC;JTHCE1BL8E5021120
766769834.html;$26,900;;;Good Deal;4.9;538;4.6;258 reviews;20;25;FWD;2.4L I4 16V GDI DOHC;Red;Gasoline;31;;10,131;025087R;Automatic CVT;5J6RM3H93GL025087
766362691.html;$17,116;;;Good Deal;5;19;4.8;177 reviews;32;27;FWD;2.5 L;Brilliant Silver;Gasoline;39;Beige;38,856;0000P823;Variable;1N4AL3APXGC110481
761548411.html;$56,194;$66,100;;;5;99;4.3;30 reviews;32;17;4WD;6.2L V8 16V GDI OHV;Black;Gasoline;23;Jet Black;5;19413;Automatic;3GCUYHEL5KG105000
759864851.html;$22,722;$26,100;;;4.6;262;4.7;34 reviews;15;25;FWD;2.4L I4 16V GDI DOHC;Lakeside Blue;Gasoline;33;Graphite;14;HY19160;6-Speed Automatic;5NPE34AF8KH766507
747390895.html;$81,695;$81,695;;;4.9;225;5;2 reviews;32;14;AWD;5.6L V8 32V GDI DOHC;Moonstone White;Gasoline;20;Wheat;8;I225597;7-Speed Automatic;JN8AZ2NE4K9225597
763072033.html;$33,795;$33,795;;;5;932;4.4;69 reviews;15;27;FWD;4 Cylinder Engine 1.5L;Sandstorm Metallic;Gasoline;33;Ivory;11;9H0368;CVT TRANSMISSION;2HKRW1H93KH502036
757563755.html;$53,946;$57,320;;;4.9;53;4.5;23 reviews;24;17;Four Wheel Drive;5.3L 8-Cyl Engine;Summit White;Gasoline;23;;50;KZ172088D;Automatic;1GTU9DED8KZ172088
755968222.html;$40,489;$50,285;;;5;303;4.5;42 reviews;17;18;FWD;Gas V6 3.6L/223;Dark Sky Metallic;Gasoline;25;Jet Black;5;GJ7045;6-Speed Automatic;1GKKNPLS8KZ175938
765694001.html;$26,995;;;Good Deal;4.8;1086;4.8;45 reviews;37;20;FWD;Intercooled Turbo Premium Unleaded I-4 2.0 L/121;Utopia Blue Metallic;Gasoline;28;Chestnut Brown;9,945;30537;6-Speed Automatic w/OD;WA1BCCFS4JR017661
766350849.html;$27,525;;;Good Deal;4.9;682;4.6;42 reviews;40;26;FWD;2.5L 4 cyls;Pearl White Tricoat;Gasoline;36;Light Gray;10,551;P4614;CVT (Continuously Variable);1N4BL4EV3KC102122
764609980.html;$21,995;;;Good Deal;5;23;4.7;639 reviews;32;28;FWD;2.5L I4 16V PDI DOHC;White;Gasoline;39;;16,402;4104U;8-Speed Automatic;4T1B11HK1JU601053
752166785.html;$43,815;$43,815;;;5;932;4.7;82 reviews;15;19;FWD;V6 Cylinder Engine 3.5L;White Diamond Pearl;Gasoline;26;Beige;11;9H0138;AUTOMATIC;5FNYF5H60KB009602
762601952.html;$46,350;$52,350;;;4.8;1125;4.8;181 reviews;32;19;4WD;5.7L V8 16V MPFI OHV;Diamond Black;Gasoline;24;Black;0;40606;8-Speed Automatic;1C6SRFFT0KN741359
757807206.html;$36,370;$45,620;;;4.8;1125;5;19 reviews;32;;RWD;5.7L V8 16V MPFI OHV;Bright White Clearcoat;Gasoline;;Diesel Gray / Black;0;40388;8-Speed Automatic;1C6RR6LT7KS573031
755732018.html;$30,382;$34,230;;;5;25;4.5;42 reviews;7;21;FWD;2.5L 4 Cyl.;Pepperdust Metallic;Gasoline;25;Dark Ash Gray/ Light Ash Gray;0;24889;6-Speed Automatic;1GKKNKLAXKZ108459
757820710.html;$36,180;$39,930;;;4.6;262;4.8;65 reviews;17;19;RWD;3.6L V6 24V MPFI DOHC;Bright White Clearcoat;Gasoline;26;Black;12;JE19100;8-Speed Automatic;1C4RJEAG9KC625981
763714147.html;$19,793;;;Good Deal;-1;-1;4.8;135 reviews;32;15;Front Wheel Drive;V6 Cylinder Engine;Silver Ice Metallic;Gasoline;22;dark titanium light titanium;37,571;HJ284425P;Automatic;1GNKRFKD4HJ284425
759077744.html;$43,061;$48,850;;;4.7;114;4.3;30 reviews;19;20;RWD;EcoTec3 5.3L V8;Summit White;E85 Flex Fuel;23;Gideon/Very Dark Atmosphere;2;19-402;8-Speed Automatic;1GCPWDED0KZ217689
761087194.html;$15,146;$15,595;;;5;19;4.8;15 reviews;32;31;FWD;1.6 L;Cayenne Red Metallic;Gasoline;39;Charcoal;6;0NC19080;Variable;3N1CN7AP4KL802515
764947468.html;$23,433;$26,690;;;5;251;4.2;5 reviews;32;;FWD;2.0L I4 16V GDI DOHC;Frozen White;Gasoline;;Ebony;7;TK201;Automatic;NM0LS7E27K1412565
763681530.html;$17,584;;;Good Deal;4.9;701;4.7;195 reviews;26;25;FWD;2.5L I4 16V MPFI DOHC;Silver;Gasoline;35;Black;35,317;HK3599;6-Speed Automatic;4T1BF1FK9GU556893
740957968.html;$23,253;$28,575;;;4.6;262;4.6;343 reviews;16;22;FWD;2.4L I4 16V MPFI SOHC;Jazz;Gasoline;31;Black;18;JE18199;6-Speed Automatic;3C4NJCBB7JT420443
765445372.html;$23,540;;;Good Deal;4.7;359;4.8;239 reviews;58;17;Four Wheel Drive;3.6L V6 CYLINDER;Black;Gasoline;25;Black;35,887;FC182960;8-Speed Automatic;1C4RJFBG6FC182960
757919083.html;$73,845;$73,845;;;4.5;761;4.8;25 reviews;32;16;RWD;6.2L V8 16V GDI OHV;Sebring Orange Tintcoat;Gasoline;25;Jet Black;0;K5112473;8-Speed Automatic;1G1YK2D70K5112473
766293201.html;$19,990;;;Good Deal;5;932;4.7;83 reviews;17;26;FWD;4 Cylinder Engine 2.5L;White;Gasoline;38;;31,860;U12799;AUTOMATIC;JM1GJ1W5XG1467368
747767130.html;$22,679;$26,575;;;5;15;4.7;34 reviews;22;25;FWD;Regular Unleaded I-4 2.4 L/144;Lakeside Blue;Gasoline;33;Black;9;00H19028;6-Speed Automatic w/OD;5NPE34AF5KH729303
765869769.html;$33,994;;$34994;Good Deal;4.8;1086;4.1;74 reviews;38;20;FWD;Regular Unleaded V-6 3.5 L/211;Caviar;Gasoline;27;Parchment;25,944;30420;8-Speed Automatic w/OD;2T2ZZMCA4GC013676
753941229.html;$28,184;$31,300;;;5;68;4.8;82 reviews;11;21;Front-wheel Drive;I-4 cyl;Scarlet Red;Gasoline;27;;3;9506H;Automatic 8-Spd w/Shiftronic;5NMS33AD1KH054932
753016398.html;$30,965;$39,365;;;-1;-1;4.9;589 reviews;24;16;RWD;2.7L V6 24V PDI DOHC Twin Turbo;Stone Gray;Gasoline;22;Medium Earth Gray;8;183918;10-Speed Automatic;1FTEX1CPXJKG08419
764737668.html;$54,550;$56,050;;;4.5;761;4.3;30 reviews;32;16;4WD;5.3L V8 16V GDI OHV;Summit White;Gasoline;22;Jet Black;0;KG120370;Automatic;3GCUYGEDXKG120370
764988815.html;$9,400;;$9990;Good Deal;5;932;4.7;116 reviews;32;23;FWD;4 Cylinder Engine 2.4L;Titanium Silver;Gasoline;34;Gray;111,735;U12772;AUTOMATIC;5XXGM4A73EG277415
765596642.html;$24,782;;;Good Deal;4.7;308;4.6;158 reviews;57;19;AWD;3.5L V6 24V GDI SOHC;White Diamond Pearl;Gasoline;26;Beige;89,685;TGB064056;9-Speed Automatic;5FNYF6H90GB064056
755732273.html;$60,499;$69,425;$63176;;5;25;5;3 reviews;11;14;RWD;5.3L 8 Cyl.;Smokey Quartz Metallic;E85 Flex Fuel;21;Cocoa/dune;0;25224;6-Speed Automatic;1GKS1GKC0KR211370
764097019.html;$24,958;$26,992;;;4.9;538;4.7;80 reviews;20;28;FWD;2.5L I4 16V PDI DOHC;White;Gasoline;39;;1;742294;8-Speed Automatic;4T1B11HK2KU742294
753609098.html;$21,699;$23,140;;;5;15;4.7;42 reviews;25;27;FWD;Regular Unleaded I-4 2.0 L/122;Chalk White;Gasoline;33;Black;10;00H19077;6-Speed Automatic w/OD;KM8K22AA6KU210888
747099324.html;$21,970;$25,430;;;3.5;14;4.6;77 reviews;20;24;FWD;2.0 L;Pearl White;Gasoline;30;Light Gray;26;N80637;Variable;JN1BJ1CP4JW180637
762277070.html;$23,899;;;Good Deal;5;23;4.9;55 reviews;32;19;FWD;3.5L V6 24V GDI DOHC;Brilliant Silver;Gasoline;26;Charcoal;24,040;NU967;Automatic CVT;5N1DR2MN8JC636489
753614218.html;$59,222;$61,885;;;4.9;482;4.5;23 reviews;23;17;4WD;6.2L V8 16V GDI OHV;Onyx Black;Gasoline;23;Dark Walnut;16;TU134;10-Speed Automatic;1GTU9DEL5KZ149259
760090417.html;$14,188;;;Good Deal;-1;-1;4.8;184 reviews;32;24;Front Wheel Drive;4 Cylinder Engine;Charcoal;Gasoline;35;BEIGE;33,357;JEA51486B;Automatic;KNAGT4L39G5084820
759100151.html;$25,690;;;Good Deal;4.8;39;4.9;84 reviews;26;19;RWD;Regular Unleaded V-6 3.6 L/220;Billet Silver Metallic Clearcoat;Gasoline;30;Black;19,184;C1337;8-Speed Automatic w/OD;2C3CCABG7JH261602
756047040.html;$38,718;$50,255;;;4.7;114;4.7;261 reviews;16;18;4WD;EcoTec3 5.3L V8;Summit White;Gasoline;24;Cocoa/Dune;2;18-1560;6-Speed Automatic;3GCUKREC9JG624203
760849588.html;$50,091;$52,090;;;4.5;63;4.5;2 reviews;32;;AWD;2.0L I4 16V GDI DOHC Turbo;Mythos Black Metallic;Gasoline;;Black / Red;12;KN002952;7-Speed Automatic with Auto-Shift;WAUENAF45KN002952
